,CountryName,DateTime,StringencyIndex,ContainmentHealthIndex,EconomicSupportIndex,GovernmentResponseIndex
206,Australia,2021-06-01,75.46,76.55,0.0,66.98
207,Australia,2021-07-01,68.06,71.79,0.0,62.81
208,Australia,2021-08-01,68.06,71.79,0.0,62.81
209,Australia,2021-09-01,71.76,74.17,0.0,64.9
210,Australia,2021-10-01,71.76,75.6,0.0,66.15
211,Australia,2021-11-01,60.65,64.88,0.0,56.77
212,Australia,2021-12-01,72.69,74.4,0.0,65.1
213,Australia,2022-01-01,40.28,51.79,0.0,45.31
214,Australia,2022-02-01,55.56,61.61,0.0,53.91
215,Australia,2022-03-01,51.39,58.04,0.0,50.78
216,Austria,2020-01-01,0.0,0.0,0.0,0.0
217,Austria,2020-02-01,0.0,2.38,0.0,2.08
218,Austria,2020-03-01,11.11,13.1,0.0,11.46
219,Austria,2020-04-01,81.48,70.83,87.5,72.92
220,Austria,2020-05-01,67.59,64.88,87.5,67.71
221,Austria,2020-06-01,53.7,54.76,87.5,58.85
222,Austria,2020-07-01,41.67,47.02,87.5,52.08
223,Austria,2020-08-01,37.96,44.64,87.5,50.0
224,Austria,2020-09-01,37.96,44.64,87.5,50.0
225,Austria,2020-10-01,40.74,48.21,87.5,53.12
226,Austria,2020-11-01,64.81,67.26,100.0,71.35
227,Austria,2020-12-01,82.41,79.76,100.0,82.29
228,Austria,2021-01-01,82.41,82.62,100.0,84.79
229,Austria,2021-02-01,82.41,82.62,100.0,84.79
230,Austria,2021-03-01,75.93,79.88,100.0,82.4
231,Austria,2021-04-01,75.0,79.29,100.0,81.88
232,Austria,2021-05-01,76.85,80.48,100.0,82.92
233,Austria,2021-06-01,68.52,76.55,100.0,79.48
234,Austria,2021-07-01,49.07,62.26,100.0,66.98
235,Austria,2021-08-01,49.07,63.69,100.0,68.23
236,Austria,2021-09-01,58.8,69.94,100.0,73.7
237,Austria,2021-10-01,51.85,65.48,100.0,69.79
238,Austria,2021-11-01,57.41,69.05,100.0,72.92
239,Austria,2021-12-01,67.59,75.6,100.0,78.65
240,Austria,2022-01-01,64.81,73.81,100.0,77.08
241,Austria,2022-02-01,61.11,71.43,100.0,75.0
242,Austria,2022-03-01,57.41,69.05,100.0,72.92
243,Azerbaijan,2020-01-01,0.0,0.0,0.0,0.0
244,Azerbaijan,2020-02-01,2.78,1.79,0.0,1.56
245,Azerbaijan,2020-03-01,19.44,22.02,0.0,19.27
246,Azerbaijan,2020-04-01,88.89,76.19,0.0,66.67
247,Azerbaijan,2020-05-01,87.96,75.6,50.0,72.4
248,Azerbaijan,2020-06-01,75.93,63.1,50.0,61.46
249,Azerbaijan,2020-07-01,96.3,82.74,50.0,78.65
250,Azerbaijan,2020-08-01,93.52,80.95,50.0,77.08
251,Azerbaijan,2020-09-01,85.19,73.21,50.0,70.31
252,Azerbaijan,2020-10-01,68.98,63.99,50.0,62.24
253,Azerbaijan,2020-11-01,64.35,61.01,50.0,59.64
254,Azerbaijan,2020-12-01,69.91,66.96,50.0,64.84
255,Azerbaijan,2021-01-01,84.26,79.17,12.5,70.83
256,Azerbaijan,2021-02-01,72.22,72.86,12.5,65.31
257,Azerbaijan,2021-03-01,67.59,67.74,50.0,65.52
258,Azerbaijan,2021-04-01,67.59,70.6,0.0,61.77
259,Azerbaijan,2021-05-01,75.93,75.95,0.0,66.46
260,Azerbaijan,2021-06-01,69.44,69.64,25.0,64.06
261,Azerbaijan,2021-07-01,58.33,62.5,0.0,54.69
262,Azerbaijan,2021-08-01,61.11,64.29,0.0,56.25
263,Azerbaijan,2021-09-01,58.33,62.5,0.0,54.69
264,Azerbaijan,2021-10-01,60.19,63.69,0.0,55.73
265,Azerbaijan,2021-11-01,37.96,51.79,0.0,45.31
266,Azerbaijan,2021-12-01,40.74,51.79,0.0,45.31
267,Azerbaijan,2022-01-01,49.07,55.36,0.0,48.44
268,Azerbaijan,2022-02-01,46.3,51.19,75.0,54.17
269,Azerbaijan,2022-03-01,,,,
